customer_id,first_name,last_name,state,email,created_at
CUST_0001,Person_0,Lname_0,FL,user_0@example.com,2023-11-24
CUST_0002,Person_1,Lname_1,WA,user_1@example.com,2023-02-27
CUST_0003,Person_2,Lname_2,NY,user_2@example.com,2023-01-13
CUST_0004,Person_3,Lname_3,WA,user_3@example.com,2023-05-21
CUST_0005,Person_4,Lname_4,WA,user_4@example.com,2023-05-06
CUST_0006,Person_5,Lname_5,TX,user_5@example.com,2023-04-25
CUST_0007,Person_6,Lname_6,NY,user_6@example.com,2023-03-13
CUST_0008,Person_7,Lname_7,NY,user_7@example.com,2023-02-22
CUST_0009,Person_8,Lname_8,NY,user_8@example.com,2023-12-13
CUST_0010,Person_9,Lname_9,WA,user_9@example.com,2023-10-07
CUST_0011,Person_10,Lname_10,FL,user_10@example.com,2023-02-14
CUST_0012,Person_11,Lname_11,NY,user_11@example.com,2023-10-30
CUST_0013,Person_12,Lname_12,,user_12@example.com,2023-08-05
CUST_0014,Person_13,Lname_13,WA,user_13@example.com,2023-01-17
CUST_0015,Person_14,Lname_14,TX,user_14@example.com,2023-01-16
CUST_0016,Person_15,Lname_15,FL,user_15@example.com,2023-02-17
CUST_0017,Person_16,Lname_16,,user_16@example.com,2023-04-22
CUST_0018,Person_17,Lname_17,,user_17@example.com,2023-04-30
CUST_0019,Person_18,Lname_18,TX,user_18@example.com,2023-09-16
CUST_0020,Person_19,Lname_19,FL,user_19@example.com,2023-11-05
CUST_0021,Person_20,Lname_20,WA,user_20@example.com,2023-01-14
CUST_0022,Person_21,Lname_21,CA,user_21@example.com,2023-10-15
CUST_0023,Person_22,Lname_22,FL,user_22@example.com,2023-04-12
CUST_0024,Person_23,Lname_23,TX,user_23@example.com,2023-11-29
CUST_0025,Person_24,Lname_24,,user_24@example.com,2023-12-26
CUST_0026,Person_25,Lname_25,WA,user_25@example.com,2023-10-07
CUST_0027,Person_26,Lname_26,FL,user_26@example.com,2023-08-03
CUST_0028,Person_27,Lname_27,CA,user_27@example.com,2023-04-23
CUST_0029,Person_28,Lname_28,CA,user_28@example.com,2023-08-18
